1,10000,-77.06765255756378
1,10000,-77.06765255756378
2,20000,-193.12318556365966
3,30000,-284.06990846710204
4,40000,-356.4011358642578
5,50000,-403.4287770751953
6,60000,-433.06263794250486
7,70000,-451.761382208252
8,80000,-462.37177399902345
9,90000,-469.3570142364502
10,100000,-472.6187870880127
11,110000,-474.26425599975585
12,120000,-474.867469619751
13,130000,-475.46148028564454
14,140000,-475.93046115722655
15,150000,-475.2939836303711
16,160000,-474.32328710327147
17,170000,-474.5029247741699
18,180000,-474.55034631347655
19,190000,-474.78198691101073
20,200000,-474.9028110870361
