epoch,step,min,max,mean,std
1,10000,-0.2836473882198334,0.13113103806972504,-0.009006812237203121,0.02440004236996174
2,20000,-3.7051260471343994,5.875772476196289,-0.1640375256538391,0.437563955783844
3,30000,-3.3643975257873535,2.2697396278381348,-0.191449835896492,0.4136362671852112
4,40000,-0.882654070854187,1.4087090492248535,-0.024953044950962067,0.1089969351887703
5,50000,-6.211117744445801,3.2673239707946777,-0.18804383277893066,0.40454402565956116
6,60000,-1.5248831510543823,1.1554254293441772,0.03649486228823662,0.1535356193780899
7,70000,-12.334748268127441,13.823808670043945,0.1732073426246643,0.735037624835968
8,80000,-4.56957483291626,1.974459171295166,-0.10963249206542969,0.2485325038433075
9,90000,-1.238548994064331,0.47401300072669983,-0.00771449925377965,0.04883069172501564
10,100000,-0.6057692170143127,1.2242836952209473,0.0072506931610405445,0.08399267494678497
11,110000,-0.5994166731834412,0.5028651356697083,0.015183137729763985,0.05694034323096275
12,120000,-2.2230944633483887,3.120382785797119,-0.1153157651424408,0.272478848695755
13,130000,-1.479276180267334,1.0575964450836182,-0.06810637563467026,0.14604398608207703
14,140000,-2.4316563606262207,1.4121719598770142,-0.09990674257278442,0.215209499001503
15,150000,-0.9457296133041382,1.4939528703689575,0.05113310366868973,0.13165879249572754
16,160000,-1.6695959568023682,1.80234694480896,0.08252351731061935,0.17554497718811035
17,170000,-7.28566837310791,5.6035566329956055,-0.18164214491844177,0.42231592535972595
18,180000,-2.787783622741699,2.6857874393463135,-0.020024392753839493,0.17089180648326874
19,190000,-1.532052993774414,0.876630425453186,-0.04506706818938255,0.10064805299043655
20,200000,-1.4821319580078125,1.2948558330535889,-0.0557616725564003,0.12762032449245453
