1,10000,-75.86630816366673
2,20000,-203.83902771606446
3,30000,-317.5729152557373
4,40000,-398.1424971740723
5,50000,-443.39373619384764
6,60000,-467.8014862213135
7,70000,-481.1533365142822
8,80000,-488.5683600036621
9,90000,-493.13293798217774
10,100000,-496.6943228240967
11,110000,-499.076722668457
12,120000,-500.7931720581055
13,130000,-501.8291553039551
14,140000,-501.890092175293
15,150000,-502.3410393829346
16,160000,-502.6120195373535
17,170000,-502.83388954467773
18,180000,-503.24828350219724
19,190000,-503.95132220458987
20,200000,-504.6161806518555
