1,10000,-154.52286026675105
2,20000,-418.077981350708
3,30000,-569.5914142364502
4,40000,-654.0521328613281
5,50000,-703.9364401733399
6,60000,-735.4054793029785
7,70000,-755.7002262634277
8,80000,-769.1824147094727
9,90000,-779.5785561462402
1,10000,-154.52286026675105
2,20000,-418.077981350708
3,30000,-569.5914142364502
4,40000,-654.0521328613281
5,50000,-703.9364401733399
6,60000,-735.4054793029785
7,70000,-755.7002262634277
8,80000,-769.1824147094727
9,90000,-779.5785561462402
10,100000,-787.5485807067871
11,110000,-794.1064839599609
12,120000,-799.1820643005371
13,130000,-802.5606383483887
14,140000,-804.8576706420898
15,150000,-807.0103170654297
16,160000,-808.8146228271485
17,170000,-810.6830627624512
18,180000,-812.5988164123535
19,190000,-814.4775276245117
20,200000,-815.9340010131835
