1,10000,-125.3971031507969
2,20000,-348.3177300918579
3,30000,-497.93088675231934
4,40000,-584.105880090332
5,50000,-634.5800775024414
6,60000,-664.3306200073242
7,70000,-679.6315422363281
8,80000,-691.5340118347168
9,90000,-698.6449126220704
10,100000,-706.1042438476562
11,110000,-712.4095649963378
12,120000,-718.0986825683593
13,130000,-725.6350857055664
14,140000,-736.677746295166
15,150000,-742.6134571472168
16,160000,-746.1543657226563
17,170000,-748.5819988769531
18,180000,-750.5619453857422
19,190000,-753.4202844421387
20,200000,-756.9140155517578
