epoch,step,min,max,mean,std
1,10000,-2.1082324981689453,2.257080078125,-0.008426167070865631,0.8595361113548279
2,20000,-1.535154938697815,1.6509705781936646,0.09037504345178604,0.4713217318058014
3,30000,-0.7062807083129883,0.7994508147239685,0.03235488757491112,0.20374926924705505
4,40000,-1.9851996898651123,3.0438737869262695,0.2281431257724762,0.9068674445152283
5,50000,-2.7621634006500244,3.3141565322875977,0.004787522833794355,0.7205380201339722
6,60000,-6.297890663146973,6.357698440551758,-0.049685604870319366,1.5609217882156372
7,70000,-5.458229064941406,5.5700578689575195,0.056441448628902435,1.6026091575622559
8,80000,-1.006124496459961,1.025001049041748,-0.029928024858236313,0.2416374832391739
9,90000,-1.201960802078247,1.03866446018219,0.03409867733716965,0.29603061079978943
10,100000,-6.579251289367676,4.010990619659424,-0.06707923859357834,1.3605912923812866
11,110000,-3.9818410873413086,2.003424644470215,-0.08449690043926239,0.7199164628982544
12,120000,-1.8033897876739502,1.2495629787445068,-0.056217290461063385,0.4380497634410858
13,130000,-0.4415855407714844,1.723099946975708,0.028945744037628174,0.2753671109676361
14,140000,-1.9595530033111572,4.8709282875061035,0.09420599043369293,0.8562172055244446
15,150000,-4.115935802459717,1.546175479888916,-0.030769819393754005,0.6972709894180298
16,160000,-3.087185859680176,1.0851104259490967,-0.09717562794685364,0.47658324241638184
17,170000,-5.481497287750244,1.9605543613433838,-0.1219099685549736,1.0192689895629883
18,180000,-1.8209881782531738,4.832023620605469,0.10742917656898499,0.8382501006126404
19,190000,-11.028127670288086,5.108123779296875,-0.18853257596492767,1.9138667583465576
20,200000,-6.649855136871338,3.5891528129577637,-0.0773157924413681,1.2202844619750977
