1,10000,-70.47788835742473
2,20000,-173.28503363952638
3,30000,-237.6884836166382
4,40000,-276.7396067138672
5,50000,-301.4607471466064
6,60000,-316.74701059875485
7,70000,-325.88782922058107
8,80000,-331.8803362792969
9,90000,-335.21319204711915
10,100000,-338.80159347839356
11,110000,-342.72458764343264
12,120000,-345.7861547912598
13,130000,-348.8729153411865
14,140000,-353.5049782836914
15,150000,-355.9351901672363
16,160000,-357.8879914550781
17,170000,-360.14129367370606
18,180000,-361.02845987854005
19,190000,-363.9545419219971
20,200000,-363.10298575134277
