epoch,step,min,max,mean,std
1,10000,-1.4359564781188965,0.8561986088752747,-0.05893489718437195,0.1276206225156784
2,20000,-2.3946025371551514,1.2932456731796265,-0.10653159767389297,0.2295396476984024
3,30000,-0.5430120825767517,0.7934503555297852,0.0312485471367836,0.07192294299602509
4,40000,-1.2967841625213623,0.8989823460578918,-0.040076497942209244,0.11667276173830032
5,50000,-1.3636820316314697,0.6995277404785156,-0.06310410052537918,0.13372927904129028
6,60000,-1.9536529779434204,1.4026533365249634,-0.043822623789310455,0.18098485469818115
7,70000,-3.403952121734619,3.4524130821228027,0.09294719994068146,0.3631943166255951
8,80000,-2.9040567874908447,5.087314128875732,0.22413495182991028,0.47379806637763977
9,90000,-0.7009094953536987,1.2695417404174805,0.06138748675584793,0.11542884260416031
10,100000,-2.115934133529663,0.971341073513031,-0.09539463371038437,0.2072857767343521
11,110000,-7.769399166107178,2.4937400817871094,0.07206770032644272,0.3036067485809326
12,120000,-2.652283191680908,0.9111621379852295,-0.1179795041680336,0.2476031631231308
13,130000,-2.765471935272217,1.4997150897979736,-0.12155488133430481,0.2672787010669708
14,140000,-0.30206578969955444,0.9312321543693542,0.037883296608924866,0.07279866188764572
15,150000,-1.8402906656265259,0.9948953986167908,-0.06015970930457115,0.1603640466928482
16,160000,-0.5200186967849731,1.407193899154663,-0.008991798385977745,0.07744469493627548
17,170000,-3.205282211303711,1.7505874633789062,-0.113179050385952,0.28586336970329285
18,180000,-0.7272039651870728,1.1682641506195068,-0.010466871783137321,0.07920654118061066
19,190000,-2.7888259887695312,1.6531684398651123,-0.10091093927621841,0.2447049617767334
20,200000,-8.050437927246094,9.740978240966797,0.3112771511077881,0.9055957794189453
