1,10000,-341.9708804654837
2,20000,-958.8559123596192
3,30000,-1375.3904264038085
4,40000,-1619.7445688964845
5,50000,-1770.035285522461
6,60000,-1853.6310457641603
7,70000,-1898.5459258544922
8,80000,-1920.8844826538086
9,90000,-1934.8762741333007
10,100000,-1943.4159173950195
11,110000,-1950.829334741211
12,120000,-1956.6371534301759
13,130000,-1962.105951513672
14,140000,-1968.3637744262696
15,150000,-1975.1907103637695
16,160000,-1983.4602267578125
17,170000,-1985.6776406982422
18,180000,-1988.8040630249022
19,190000,-1992.108341882324
20,200000,-1995.2492646606445
