epoch,step,min,max,mean,std
1,10000,-0.20277440547943115,0.2225976437330246,8.285391959361732e-05,0.028180278837680817
2,20000,-0.20053355395793915,0.20526474714279175,-3.9101654692785814e-05,0.031055649742484093
3,30000,-0.4961904287338257,0.3022730350494385,-0.0022173922043293715,0.047564711421728134
4,40000,-1.0321263074874878,1.1222436428070068,0.0010449886322021484,0.09410683810710907
5,50000,-0.4239480495452881,0.47515881061553955,-0.00045550387585535645,0.0363960862159729
6,60000,-1.016173005104065,0.9746180772781372,0.0012710241135209799,0.08077612519264221
7,70000,-0.26796165108680725,0.3772130310535431,0.00031857771682552993,0.034344468265771866
8,80000,-0.6981939077377319,0.7594680786132812,0.0014191920636221766,0.08302491158246994
9,90000,-0.40118974447250366,0.28693583607673645,0.0003208549169357866,0.039259158074855804
10,100000,-0.5310271978378296,0.5289616584777832,-0.0006723581464029849,0.05431186407804489
11,110000,-0.7076086401939392,0.7781896591186523,-0.0008861712994985282,0.0737638846039772
12,120000,-0.3186497092247009,0.4028862714767456,0.000597265490796417,0.04202807694673538
13,130000,-0.44478076696395874,0.35733529925346375,-0.0009558176971040666,0.04521874710917473
14,140000,-0.6840018033981323,0.6981296539306641,-0.0004315257538110018,0.07094476372003555
15,150000,-0.3854842185974121,0.43199777603149414,-7.174493657657877e-05,0.05185497924685478
16,160000,-0.1923740804195404,0.2823750078678131,0.0003704288392327726,0.02621147222816944
17,170000,-0.56592857837677,0.7187168598175049,-8.768093539401889e-05,0.05533456429839134
18,180000,-0.2681533992290497,0.31131917238235474,0.00032454199390485883,0.035016294568777084
19,190000,-0.20661160349845886,0.17480358481407166,0.0003996588638983667,0.024981454014778137
20,200000,-0.3124238848686218,0.3126726746559143,-0.00031327642500400543,0.03012491948902607
