1,10000,-180.4210537264824
2,20000,-430.4577932098389
3,30000,-563.4624251770019
4,40000,-650.5705886108399
5,50000,-708.0934714355469
6,60000,-745.2905906066894
7,70000,-771.2217701782226
8,80000,-788.539048638916
9,90000,-805.8181014770507
10,100000,-817.6391001037598
11,110000,-826.9543654418945
12,120000,-831.3744056518555
13,130000,-838.1200356933593
14,140000,-843.880797845459
15,150000,-847.5416289489746
16,160000,-852.5488585754395
17,170000,-854.492161303711
18,180000,-854.7006602905274
19,190000,-856.4892980041504
20,200000,-857.0782445861817
