1,10000,-82.69684294544459
2,20000,-201.82279153289795
3,30000,-272.0880130462646
4,40000,-314.1994535949707
5,50000,-340.1250921661377
6,60000,-355.43793343200684
7,70000,-364.42761405639646
8,80000,-369.24875578918454
9,90000,-371.8111677490234
10,100000,-373.8296788482666
11,110000,-374.606619152832
12,120000,-374.8213843475342
13,130000,-375.06976026916504
14,140000,-376.2386577972412
15,150000,-376.94978968200684
16,160000,-377.3500457611084
17,170000,-377.9025637664795
18,180000,-378.1591505706787
19,190000,-378.1648619506836
20,200000,-378.8868434692383
