1,10000,-158.7547771004677
2,20000,-420.13610665893555
3,30000,-588.4783186218261
4,40000,-692.071855871582
5,50000,-759.4387026123047
6,60000,-801.3295339660644
7,70000,-826.3500462219238
8,80000,-839.5258381408692
9,90000,-845.960583630371
10,100000,-848.7329842224121
11,110000,-850.0398319274902
12,120000,-849.8926459899902
13,130000,-849.6461020935059
14,140000,-849.6149008972168
15,150000,-849.8418385986328
16,160000,-850.2551669189453
17,170000,-851.147613269043
18,180000,-851.9945307250977
19,190000,-852.7578997924804
20,200000,-853.379458972168
