1,10000,49.72962033189796
2,20000,78.55944921150207
3,30000,54.39870333385468
4,40000,-24.918043931525947
5,50000,-126.74253687438964
6,60000,-281.86318555603026
7,70000,-616.581210458374
8,80000,-1157.8029245178222
9,90000,-1809.429473852539
10,100000,-2414.826206640625
11,110000,-2732.253095605469
12,120000,-2337.6588173217774
13,130000,-1738.4938221923828
14,140000,-1370.7121413696289
15,150000,-1203.0468532165528
16,160000,-1128.8847883911133
17,170000,-1152.5955819519043
18,180000,-1117.142061895752
19,190000,-1225.1084591644287
20,200000,-1352.8833763519287
