Dataset_ID,State_Coverage_Entropy,State_Spread,Action_Entropy,Trajectory_Diversity,Reward_Sparsity,Is_Minari,Normalized_Target_Score
halfcheetah_expert,0.8655808697462886,4.610294879272007,3.4508648633505365,0.9123823995115531,0.0,1,-0.9848998406409587
halfcheetah_medium,0.9014757507820109,4.451420041477042,3.405397564671094,0.8455000183769915,0.0,1,-1.4095529526172077
halfcheetah_simple,0.9518731009979098,3.338238726767353,3.2375430944097765,0.9516699144281389,0.0,1,-338.54416123885983
hopper_expert,0.9151740974490564,1.7602218641844758,3.7182825315343897,0.9356745147069156,0.0,1,0.8210126960193361
hopper_medium,0.9549714577580277,1.5023631210749706,3.775431029187079,0.9587763451783382,0.0,1,0.8749443538757283
hopper_simple,0.9314898982096375,1.1734798157913202,3.65869115765831,0.9281374992123772,0.0,1,6.197059689526988
walker2d_expert,0.9609566622565592,2.159605254954518,3.4971207641963082,0.9272664173887295,0.0,1,0.9449282808897433
walker2d_medium,0.9355937130626517,1.9357040030140684,3.3870460355298815,0.887853804647409,0.0,1,-0.30311072055448124
walker2d_simple,0.9097702472373717,1.721813037826585,3.5091262791205597,0.9137888442209147,0.0,1,-1.5011743892588516
