epoch,step,min,max,mean,std
1,10000,-2.4392173290252686,-2.4392173290252686,-2.4392173290252686,0.0
2,20000,-0.9445399641990662,-0.9445399641990662,-0.9445399641990662,0.0
3,30000,-0.3920418322086334,-0.3920418322086334,-0.3920418322086334,0.0
4,40000,-0.15375776588916779,-0.15375776588916779,-0.15375776588916779,0.0
5,50000,-0.06526019424200058,-0.06526019424200058,-0.06526019424200058,0.0
6,60000,-0.025027791038155556,-0.025027791038155556,-0.025027791038155556,0.0
7,70000,-0.01075911708176136,-0.01075911708176136,-0.01075911708176136,0.0
8,80000,-0.0038442888762801886,-0.0038442888762801886,-0.0038442888762801886,0.0
9,90000,-0.0016489429399371147,-0.0016489429399371147,-0.0016489429399371147,0.0
10,100000,-0.000684770755469799,-0.000684770755469799,-0.000684770755469799,0.0
11,110000,-0.0003037599381059408,-0.0003037599381059408,-0.0003037599381059408,0.0
12,120000,-0.00011794319289037958,-0.00011794319289037958,-0.00011794319289037958,0.0
13,130000,-4.765561970998533e-05,-4.765561970998533e-05,-4.765561970998533e-05,0.0
14,140000,-1.8769627786241472e-05,-1.8769627786241472e-05,-1.8769627786241472e-05,0.0
15,150000,-7.159958386182552e-06,-7.159958386182552e-06,-7.159958386182552e-06,0.0
16,160000,-2.9449026897054864e-06,-2.9449026897054864e-06,-2.9449026897054864e-06,0.0
17,170000,-1.2288211337363464e-06,-1.2288211337363464e-06,-1.2288211337363464e-06,0.0
18,180000,-4.7523755597467243e-07,-4.7523755597467243e-07,-4.7523755597467243e-07,0.0
19,190000,-2.160489600555593e-07,-2.160489600555593e-07,-2.160489600555593e-07,0.0
20,200000,-8.434442833049616e-08,-8.434442833049616e-08,-8.434442833049616e-08,0.0
