1,10000,-281.540232090354
2,20000,-737.1462036499023
3,30000,-1027.4062110839843
4,40000,-1203.5284083251954
5,50000,-1312.8538251220702
6,60000,-1383.0209204956054
7,70000,-1427.9453884765626
8,80000,-1454.1504371704102
9,90000,-1467.7143795410157
10,100000,-1473.8787247802734
11,110000,-1474.6670753417968
12,120000,-1473.4103448730468
13,130000,-1477.9820330932616
14,140000,-1495.1996242919922
15,150000,-1514.1810444091798
16,160000,-1529.4344119140626
17,170000,-1540.4937770385743
18,180000,-1546.389449609375
19,190000,-1549.876737548828
20,200000,-1554.1580361328124
1,10000,-286.5131974010706
2,20000,-751.4366454833985
3,30000,-1047.2951174682617
4,40000,-1231.0979102294923
5,50000,-1350.2678029052734
6,60000,-1428.5238413208008
7,70000,-1476.4800546142578
8,80000,-1504.425550402832
9,90000,-1520.7001589477538
10,100000,-1529.5876117919922
11,110000,-1533.6832961791993
12,120000,-1535.4701537841797
13,130000,-1534.9409678466798
14,140000,-1534.494696911621
15,150000,-1534.0113167236327
16,160000,-1532.3917568969728
17,170000,-1529.6399736694336
18,180000,-1526.4137516723633
19,190000,-1525.0043575805664
20,200000,-1524.9067775024414
