1,10000,-27.04826109867096
2,20000,-10.913230555391312
3,30000,-4.264543190455437
4,40000,-0.9309317433357239
5,50000,5.732720813393593
6,60000,70.89176089248657
7,70000,2795.150017145538
8,80000,81975.48964760742
9,90000,1083472.4564039062
10,100000,7780632.35914375
11,110000,36411758.47705
12,120000,122053883.08
13,130000,300697396.9696
14,140000,574726909.408
15,150000,856637750.784
16,160000,909182791.888
17,170000,588954971.9392
18,180000,166443615.024
19,190000,85393757.3072
20,200000,83193890.7272
